-3 SD (G),-2 SD (G),-1 SD (G),Median (G),Height (cm),Median (B),-1 SD (B),-2 SD (B),-3 SD (B)
6.6,7.1,7.8,8.5,71,8.8,8.1,7.5,6.9
6.7,7.3,8,8.7,72,9,8.3,7.7,7.1
6.9,7.5,8.1,8.9,73,9.2,8.5,7.9,7.3
7,7.6,8.3,9.1,74,9.4,8.7,8,7.4
7.2,7.8,8.5,9.3,75,9.6,8.9,8.2,7.6
7.3,8,8.7,9.5,76,9.8,9.1,8.4,7.7
7.5,8.1,8.8,9.6,77,10,9.2,8.5,7.9
7.6,8.3,9,9.8,78,10.2,9.4,8.7,8
7.8,8.4,9.2,10,79,10.4,9.6,8.8,8.2
7.9,8.6,9.4,10.2,80,10.6,9.7,9,8.3
8.1,8.3,8.8,9,9.6,9.8,10.4,10.7,81
82,10.8,11,9.9,10.1,9.2,9.3,8.5,8.7
8.5,9.2,10,10.9,83,11.2,10.3,9.5,8.8
8.6,8.8,9.4,9.6,10.2,10.4,11.1,11.4,84
85,11.4,11.7,10.5,10.8,9.7,10,9,9.2
9,9.8,10.7,11.6,86,11.9,11,10.2,9.4
9.2,10,10.9,11.9,87,12.2,11.2,10.4,9.6
9.4,10.2,11.1,12.1,88,12.4,11.5,10.6,9.8
9.6,10.4,11.4,12.4,89,12.6,11.7,10.8,10
9.8,10.6,11.6,12.6,90,12.9,11.9,11,10.2
10,10.9,11.8,12.9,91,13.1,12.1,11.2,10.4
10.2,11.1,12,13.1,92,13.4,12.3,11.4,10.6
10.4,11.3,12.3,13.4,93,13.6,12.6,11.6,10.8
10.6,11.5,12.5,13.6,94,13.8,12.8,11.8,11
10.8,11.7,12.7,13.9,95,14.1,13,12,11.1
10.9,11.9,12.9,14.1,96,14.3,13.2,12.2,11.3
11.1,12.1,13.2,14.4,97,14.6,13.4,12.4,11.5
11.3,12.3,13.4,14.7,98,14.8,13.7,12.6,11.7
11.5,12.5,13.7,14.9,99,15,13.9,12.9,11.9
11.7,12.8,13.9,15.2,100,15.2,14.2,13.1,12.1
12,13,14.2,15.5,101,15.5,14.4,13.3,12.3
12.2,13.3,14.5,15.8,102,15.8,14.7,13.6,12.5
12.4,13.5,14.7,16.1,103,16.1,14.9,13.8,12.8
12.6,13.8,15,16.4,104,16.4,15.2,14,13
12.9,14,15.3,16.8,105,16.7,15.5,14.3,13.2
13.1,14.3,15.6,17.1,106,17,15.8,14.5,13.4
13.4,14.6,15.9,17.5,107,17.3,16.1,14.8,13.7
13.7,14.9,16.3,17.8,108,17.7,16.4,15.1,13.9
13.9,15.2,16.6,18.2,109,18,16.7,15.3,14.1
14.2,15.5,17,18.6,110,18.5,17,15.6,14.4
14.5,15.8,17.3,19,111,18.9,17.3,15.9,14.6
14.8,16.2,17.7,19.4,112,19.2,17.6,16.2,14.9
15.1,16.5,18,19.8,113,19.6,18,16.5,15.2
15.4,16.8,18.4,20.2,114,20,18.3,16.8,15.4
15.7,16,17.2,17.5,18.8,19.2,20.7,21.1,115
116,20.4,20.8,18.6,19,17.1,17.4,15.7,16
16.3,17.8,19.6,21.5,117,21.2,19.3,17.7,16.2
16.6,16.9,18.2,18.5,19.9,20.3,22,22.4,118
119,21.6,22,19.7,20,18,18.3,16.5,16.8
17.3,18.9,20.7,22.8,120,22.4,20.4,18.6,17.1